#: table_doi: 10.17182/hepdata.72491.v1/t13,,,,,,,
#: name: Table 13,,,,,,,
#: description: Charged-particle multiplicity distribution in proton-proton collisions at a centre-of-mass energy of 13000 GeV for events with the number of charged particles >=1 having transverse momentum >500 MeV and absolute(pseudorapidity) <0.8.,,,,,,,
,,,,,,,
#: data_file: Table13.yaml,,,,,,,
#: keyword reactions: P P --> CHARGED X,,,,,,,
#: keyword observables: DNEV/DN,,,,,,,
#: keyword phrases: Inclusive | Single Differential Distribution | Proton-Proton Scattering,,,,,,,
#: ETARAP(P=3),,,-1.6,,,,
#: N(P=3),,,>= 1,,,,
#: PT(P=3) [MEV],,,> 500,,,,
#: RE,,,P P --> CHARGED X,,,,
#: SQRTS(S) [GeV],,,13000,,,,
N(P=3),N(P=3) LOW,N(P=3) HIGH,(1/NEV)*DNEV/DN(P=3),stat +,stat -,sys +,sys -
1,0.5,1.5,0.2131,0.0001594,-0.0001594,0.004437,-0.004445
2,1.5,2.5,0.1531,0.0001057,-0.0001057,0.0005948,-0.0006146
3,2.5,3.5,0.1118,8.04E-05,-8.04E-05,0.0004009,-0.0004154
4,3.5,4.5,0.08655,6.53E-05,-6.53E-05,0.0002002,-0.0002116
5,4.5,5.5,0.06984,5.51E-05,-5.51E-05,7.87E-05,-8.56E-05
6,5.5,6.5,0.05781,4.78E-05,-4.78E-05,3.94E-05,-2.84E-05
7,6.5,7.5,0.04833,4.19E-05,-4.19E-05,1.78E-06,-2.21E-05
8,7.5,8.5,0.04079,3.72E-05,-3.72E-05,2.82E-05,-6.89E-05
9,8.5,9.5,0.03453,3.32E-05,-3.32E-05,7.21E-05,-0.0001021
10,9.5,10.5,0.02922,2.97E-05,-2.97E-05,0.0001023,-0.0001383
11,10.5,11.5,0.02478,2.67E-05,-2.67E-05,0.0001364,-0.000152
12,11.5,12.5,0.02102,2.41E-05,-2.41E-05,0.0001545,-0.0001556
13,12.5,13.5,0.01775,2.17E-05,-2.17E-05,0.0001606,-0.0001584
14,13.5,14.5,0.01499,1.96E-05,-1.96E-05,0.0001635,-0.0001573
15,14.5,15.5,0.01267,1.76E-05,-1.76E-05,0.0001617,-0.0001514
16,15.5,16.5,0.01067,1.60E-05,-1.60E-05,0.0001558,-0.0001452
17,16.5,17.5,0.008956,1.44E-05,-1.44E-05,0.000148,-0.0001382
18,17.5,18.5,0.007536,1.30E-05,-1.30E-05,0.0001401,-0.0001296
19,18.5,19.5,0.006274,1.17E-05,-1.17E-05,0.0001307,-0.0001188
20,19.5,20.5,0.005263,1.06E-05,-1.06E-05,0.0001222,-0.0001091
21,20.5,21.5,0.004408,9.58E-06,-9.58E-06,0.0001126,-0.0001004
22,21.5,22.5,0.003688,8.71E-06,-8.71E-06,0.0001036,-9.27E-05
23,22.5,23.5,0.003051,7.82E-06,-7.82E-06,9.51E-05,-8.34E-05
24,23.5,24.5,0.002514,7.00E-06,-7.00E-06,8.58E-05,-7.38E-05
25,24.5,25.5,0.002066,6.26E-06,-6.26E-06,7.62E-05,-6.46E-05
26,25.5,26.5,0.001687,5.58E-06,-5.58E-06,6.64E-05,-5.60E-05
27,26.5,27.5,0.001395,5.06E-06,-5.06E-06,5.78E-05,-4.95E-05
28,27.5,28.5,0.001142,4.51E-06,-4.51E-06,5.05E-05,-4.32E-05
29,28.5,29.5,0.0009266,4.00E-06,-4.00E-06,4.42E-05,-3.68E-05
30,29.5,30.5,0.0007858,3.73E-06,-3.73E-06,4.01E-05,-3.25E-05
31,30.5,31.5,0.0006533,3.38E-06,-3.38E-06,3.49E-05,-2.82E-05
32,31.5,32.5,0.000533,3.03E-06,-3.03E-06,2.97E-05,-2.42E-05
33,32.5,33.5,0.0004219,2.63E-06,-2.63E-06,2.45E-05,-2.03E-05
34,33.5,34.5,0.0003378,2.34E-06,-2.34E-06,2.09E-05,-1.72E-05
35,34.5,35.5,0.000272,2.08E-06,-2.08E-06,1.79E-05,-1.44E-05
36,35.5,36.5,0.000211,1.80E-06,-1.80E-06,1.46E-05,-1.15E-05
37,36.5,37.5,0.0001801,1.68E-06,-1.68E-06,1.29E-05,-1.02E-05
38,37.5,38.5,0.0001437,1.45E-06,-1.45E-06,1.08E-05,-8.59E-06
39,38.5,39.5,0.0001126,1.30E-06,-1.30E-06,8.88E-06,-7.15E-06
40,39.5,40.5,9.50E-05,1.17E-06,-1.17E-06,7.76E-06,-6.05E-06
41,40.5,41.5,7.23E-05,9.99E-07,-9.99E-07,6.09E-06,-4.79E-06
42,41.5,42.5,5.90E-05,8.91E-07,-8.91E-07,5.20E-06,-3.81E-06
43,42.5,43.5,4.89E-05,8.38E-07,-8.38E-07,4.41E-06,-3.15E-06
44,43.5,44.5,3.72E-05,7.12E-07,-7.12E-07,3.35E-06,-2.47E-06
45,44.5,45.5,3.23E-05,6.84E-07,-6.84E-07,3.00E-06,-2.27E-06
47.14,45.5,50,1.68E-05,2.32E-07,-2.32E-07,1.65E-06,-1.17E-06
51.5,50,55,7.33E-06,1.48E-07,-1.48E-07,7.27E-07,-6.29E-07
